DATE,GBREXPORTQDSMEI_PCH
2011-01-01,4.93528
2011-04-01,1.83417
2011-07-01,1.00124
2011-10-01,0.83012
2012-01-01,1.37317
2012-04-01,-4.01801
2012-07-01,2.16534
2012-10-01,-1.05118
2013-01-01,4.26900
2013-04-01,1.75456
2013-07-01,-0.89027
2013-10-01,-2.97333
2014-01-01,-0.41018
2014-04-01,1.04552
2014-07-01,0.02753
2014-10-01,2.71946
2015-01-01,-3.64705
2015-04-01,3.13005
2015-07-01,-4.26869
2015-10-01,3.74624
2016-01-01,-0.61767
2016-04-01,5.38410
2016-07-01,1.21191
2016-10-01,8.17402
2017-01-01,0.55181
2017-04-01,1.00927
2017-07-01,2.16738
2017-10-01,0.00824
2018-01-01,2.07433
2018-04-01,0.90464
2018-07-01,3.43228
2018-10-01,1.09344
2019-01-01,-3.33310
2019-04-01,1.74471
2019-07-01,4.87034
2019-10-01,4.17860
2020-01-01,-13.78219
2020-04-01,-12.47015
2020-07-01,0.06821
2020-10-01,0.51126
